date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:20	162762/162762	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2013:52:24%20GMT	https://www.maman-corp.com/project/water-u	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/project/water-u.html	(from https://www.maman-corp.com/)
11:04:22	162783/162783	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2013:52:26%20GMT	https://www.maman-corp.com/project/schneider-schaumburg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/project/schneider-schaumburg.html	(from https://www.maman-corp.com/)
11:04:25	162806/162806	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2013:52:29%20GMT	https://www.maman-corp.com/project/schneider-houston	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/project/schneider-houston.html	(from https://www.maman-corp.com/)
11:04:27	162759/162759	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Apr%202023%2005:34:27%20GMT	https://www.maman-corp.com/project/ecolab-lobby	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/project/ecolab-lobby.html	(from https://www.maman-corp.com/)
11:04:29	162827/162827	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2013:52:34%20GMT	https://www.maman-corp.com/project/customer-experience-center	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/project/customer-experience-center.html	(from https://www.maman-corp.com/)
11:04:31	25680/25680	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2013:52:36%20GMT	https://www.maman-corp.com/terms-and-conditions	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/terms-and-conditions.html	(from https://www.maman-corp.com/)
11:04:32	86709/86709	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-152b5%22	https://code.jquery.com/jquery-3.1.1.min.js	C:/My%20Web%20Sites/Dharmadev%20Infra/code.jquery.com/jquery-3.1.1.min.js	(from https://www.maman-corp.com/)
11:04:32	86709/86709	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20Jun%202018%2008:28:06%20GMT	https://www.maman-corp.com/assets/js/lib/jquery-3.1.1.min.js	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/js/lib/jquery-3.1.1.min.js	(from https://www.maman-corp.com/)
11:04:32	376241/376241	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20Jun%202018%2008:28:10%20GMT	https://www.maman-corp.com/assets/js/scripts.js	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/js/scripts.js	(from https://www.maman-corp.com/)
11:04:33	20960/20960	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/fonts/gt-walsheim-bold.woff2	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/fonts/gt-walsheim-bold.html	(from https://www.maman-corp.com/assets/css/main.css)
